Thumb,Index,Middle,Ring,Pinky,X,Y,Label
42,108,108,112,83,440,-848,Ã
40,112,110,111,76,456,-856,Ã
38,108,108,111,72,488,-856,Ã
37,107,108,111,83,464,-856,Ã
37,109,109,111,83,448,-864,Ã
36,111,107,109,78,456,-840,Ã
36,107,108,111,83,456,-856,Ã
33,109,108,108,83,480,-864,Ã
32,106,107,108,72,472,-880,Ã
27,107,108,108,78,472,-872,Ã
22,109,109,111,85,464,-864,Ã
19,109,108,110,81,472,-864,Ã
13,107,108,109,78,464,-856,Ã
8,107,109,108,74,464,-864,Ã
7,103,107,108,74,496,-864,Ã
7,107,107,108,81,488,-864,Ã
7,108,107,109,83,464,-864,Ã
6,106,105,108,78,472,-848,Ã
6,107,107,108,74,488,-848,Ã
5,103,105,106,67,488,-864,Ã
5,107,106,106,78,456,-864,Ã
5,108,107,108,83,472,-864,Ã
3,106,106,109,78,480,-856,Ã
4,106,105,107,81,496,-872,Ã
4,106,112,106,76,488,-872,Ã
3,103,107,106,67,464,-864,Ã
5,105,106,107,81,456,-864,Ã
5,108,111,106,72,504,-856,Ã
4,108,105,107,76,488,-856,Ã
4,105,105,107,76,464,-856,Ã
5,103,104,105,69,464,-864,Ã
4,103,103,105,76,472,-856,Ã
5,106,106,107,83,464,-864,Ã
5,105,106,106,76,472,-856,Ã
4,106,105,104,78,456,-856,Ã
4,104,104,106,69,472,-856,Ã
5,104,104,103,67,520,-840,Ã
5,103,105,104,76,480,-856,Ã
5,106,105,106,83,504,-848,Ã
4,103,105,106,78,480,-864,Ã
4,105,105,106,76,464,-856,Ã
4,103,103,104,67,472,-856,Ã
5,100,104,104,67,480,-872,Ã
5,105,104,106,78,472,-856,Ã
6,106,105,106,83,496,-872,Ã
5,105,103,106,76,480,-872,Ã
5,105,105,105,74,488,-864,Ã
5,102,103,104,65,472,-856,Ã
5,104,103,104,69,472,-864,Ã
6,106,104,106,83,512,-872,Ã
6,106,103,105,76,504,-864,Ã
5,104,104,106,78,480,-848,Ã
6,103,103,104,69,464,-864,Ã
6,103,103,104,65,472,-872,Ã
6,103,104,104,78,472,-856,Ã
6,105,102,104,81,464,-848,Ã
5,103,103,106,76,496,-848,Ã
6,104,103,104,81,504,-880,Ã
6,99,103,102,67,480,-872,Ã
5,102,104,104,74,488,-848,Ã
6,105,103,105,81,472,-856,Ã
6,105,103,105,76,480,-856,Ã
7,102,103,104,72,456,-848,Ã
5,103,104,104,72,472,-864,Ã
5,99,102,102,67,480,-856,Ã
6,103,103,104,74,472,-864,Ã
7,103,103,104,78,464,-864,Ã
6,104,103,104,76,464,-864,Ã
6,102,104,104,69,472,-864,Ã
